RESOLUCAO,BITRATE,QP,FPS,PSNR,SSIM,LPIPS,VMAF
34560000,67130.2,31,30,32.993652,0.5413323,,
34560000,43215.4,34,30,31.482773,0.49658886,,
34560000,101652.2,30,30,33.76623,0.56982994,,
34560000,58473.4,34,30,31.704903,0.49964496,,
34560000,44289.8,36,30,30.647024,0.4635027,,
34560000,93672.2,28,30,35.35636,0.59162307,,
34560000,62790.8,31,30,33.846863,0.5509413,,
34560000,47739.6,33,30,32.76854,0.5215011,,
34560000,301431.0,23,30,36.6639,0.79158926,,
34560000,149907.0,28,30,33.600174,0.7149457,,
34560000,82187.8,32,30,31.331694,0.63339293,,
34560000,282194.2,25,30,36.340923,0.7643436,,
34560000,152008.2,30,30,33.497356,0.6839829,,
34560000,102594.4,33,30,31.729376,0.62052536,,
34560000,64673.0,28,30,32.608917,0.77779996,,
34560000,35696.6,33,30,29.570065,0.68428165,,
34560000,22079.8,37,30,27.550287,0.59529823,,
34560000,136265.8,29,30,33.685944,0.6668813,,
34560000,77232.8,34,30,31.167631,0.5736178,,
34560000,55695.6,37,30,29.705183,0.5148727,,
34560000,64577.4,30,30,31.259115,0.743698,,
34560000,49433.8,32,30,30.019218,0.7004641,,
34560000,33461.2,35,30,28.419586,0.63593894,,
34560000,118040.2,30,30,33.29632,0.6090383,,
34560000,76672.4,34,30,31.198412,0.55061036,,
34560000,56342.8,37,30,29.723694,0.5030735,,
34560000,62909.0,30,30,31.469654,0.7430321,,
34560000,33473.0,35,30,28.5069,0.63529265,,
34560000,22508.2,38,30,26.908587,0.5592594,,
34560000,113462.4,31,30,32.746334,0.6509859,,
34560000,71663.4,35,30,30.672432,0.57551813,,
34560000,47104.4,39,30,28.77914,0.49752736,,
34560000,133540.0,23,30,37.257187,0.5942907,,
34560000,42514.4,29,30,33.688847,0.5121027,,
34560000,17896.0,34,30,31.119505,0.43333185,,
34560000,35844.2,24,30,40.871876,0.49755952,,
34560000,13214.0,30,30,37.97662,0.3429164,,
34560000,6721.0,34,30,36.26345,0.24714114,,
34560000,85485.4,27,30,35.410007,0.6478005,,
34560000,34959.4,32,30,32.33681,0.5412857,,
34560000,19326.0,35,30,30.648476,0.46584105,,
34560000,86993.4,31,30,32.09312,0.77822,,
34560000,49967.6,35,30,29.811022,0.7285394,,
34560000,31932.6,38,30,28.019876,0.682493,,
34560000,37882.2,26,30,33.8589,0.7722745,,
34560000,24105.0,28,30,32.72362,0.7161152,,
34560000,12306.0,31,30,31.118237,0.60418254,,
34560000,30225.8,29,30,33.845802,0.7103998,,
34560000,16310.0,33,30,31.886126,0.6439288,,
34560000,10167.6,36,30,30.444017,0.5822074,,
34560000,80392.0,32,30,31.493822,0.76983166,,
34560000,45956.2,36,30,29.170761,0.7169847,,
34560000,29480.8,39,30,27.45082,0.66763765,,
34560000,98033.6,23,30,35.7674,0.7566848,,
34560000,34386.0,29,30,32.930195,0.6165363,,
34560000,19989.8,33,30,31.32767,0.5062988,,
34560000,14477.6,25,30,37.712032,0.48778045,,
34560000,8167.8,29,30,35.66658,0.4223034,,
34560000,5399.4,32,30,34.240547,0.37029424,,
34560000,48622.8,24,30,35.63649,0.6640091,,
34560000,21942.8,29,30,33.193798,0.56942683,,
34560000,14524.4,32,30,31.866451,0.502049,,
34560000,85997.2,27,30,32.636826,0.73065346,,
34560000,39315.0,31,30,30.176113,0.61319375,,
34560000,21983.8,34,30,28.504951,0.4926532,,
34560000,76520.0,27,30,34.882668,0.6040024,,
34560000,32527.2,33,30,31.905117,0.47900736,,
34560000,21949.4,36,30,25.70495,0.29643184,,
34560000,440318.0,31,30,30.734758,0.70276874,,
34560000,272695.2,34,30,28.93608,0.6232141,,
34560000,165738.8,37,30,27.331478,0.5452092,,
34560000,224586.0,32,30,32.703346,0.7093993,,
34560000,146218.6,35,30,31.201334,0.6437952,,
